,"Maternal mortality ratio (national estimate, per 100,000 live births)"
0,5.0
1,11.0
2,6.0
3,14.0
4,20.0
5,6.0
6,11.0
7,14.0
8,5.0
9,46.0
10,23.0
11,60.0
12,0.0
13,16.0
14,53.0
15,531.0
16,80.0
17,9.0
18,5.0
19,281.0
20,516.0
21,52.0
22,15.0
23,23.0
24,10.0
25,19.0
26,14.0
27,5.0
28,14.0
29,0.0
30,21.0
31,2.0
32,36.0
33,27.0
34,10.0
35,17.0
36,14.0
37,13.0
38,54.0
39,35.0
40,15.0
41,12.0
42,40.0
43,7.0
44,109.0
45,4.0
46,133.0
47,1117.0
48,4.0
49,19.0
50,0.0
51,0.0
52,183.0
53,2.0
54,1.0
55,37.0
56,37.0
57,26.0
58,75.0
59,43.0
60,10.0
61,207.0
62,13.0
63,5.0
64,724.0
65,8.0
66,4.0
67,10.0
68,5.0
69,0.0
70,339.0
71,7.0
72,17.0
73,17.0
74,3.0
75,52.0
76,24.0
77,13.0
78,16.0
79,15.0
80,6.0
81,32.0
82,68.0
83,0.0
84,3.0
85,27.0
86,45.0
87,51.0
88,0.0
89,10.0
90,60.0
91,24.0
92,2.0
93,56.0
94,60.0
95,7.0
96,0.0
97,7.0
98,6.0
99,76.0
100,17.0
101,77.0
102,38.0
103,14.0
104,2.0
105,34.0
106,14.0
107,0.0
108,40.0
109,4.0
110,15.0
111,26.0
112,6.0
113,20.0
114,0.0
115,52.0
116,75.0
117,1.0
118,31.0
119,0.0
120,605.0
121,420.0
122,6.0
123,21.0
124,9.0
125,18.0
126,107.0
127,3.0
128,25.0
129,17.0
130,28.0
131,60.0
132,27.0
133,106.0
134,200.0
135,0.0
136,7.0
137,105.0
138,8.0
139,8.0
140,35.0
141,41.0
142,1201.0
143,3.0
144,97.0
145,19.0
146,15.0
147,14.0
148,5.0
149,38.0
150,34.0
151,233.0
152,72.0
153,110.0
154,0.0
155,15.0
156,0.0
157,32.0
158,56.0
159,13.0
160,3.0
161,97.0
162,16.0
163,782.0
164,31.0
165,0.0
166,580.0
167,15.0
168,23.0
169,0.0
170,8.0
171,47.0
172,7.0
173,2.0
174,2.0
175,32.0
176,48.0
177,182.0
178,18.0
179,2.0
180,4.0
181,18.0
182,56.0
183,4.0
184,28.0
185,36.0
186,2.0
187,605.0
188,13.0
189,59.0
190,2.0
191,4.0
192,30.0
193,40.0
194,21.0
195,21.0
196,80.0
197,102.0
198,52.0
199,9.0
200,61.0
201,3.0
202,63.0
203,5.0
204,38.0
205,19.0
206,17.0
207,36.0
208,61.0
209,38.0
