,"Maternal mortality ratio (national estimate, per 100,000 live births)"
0,25.0
1,14.0
2,9.0
3,45.0
4,62.0
5,11.0
6,60.0
7,15.0
8,40.0
9,60.0
10,14.0
11,0.0
12,4.0
13,18.0
14,15.0
15,4.0
16,9.0
17,263.0
18,0.0
19,206.0
20,28.0
21,40.0
22,10.0
23,13.0
24,557.0
25,25.0
26,42.0
27,5.0
28,3.0
29,3.0
30,21.0
31,9.0
32,56.0
33,12.0
34,6.0
35,12.0
36,5.0
37,183.0
38,12.0
39,0.0
40,0.0
41,2.0
42,5.0
43,27.0
44,0.0
45,23.0
46,7.0
47,37.0
48,19.0
49,17.0
50,6.0
51,0.0
52,41.0
53,37.0
54,41.0
55,553.0
56,378.0
57,16.0
58,12.0
59,15.0
60,5.0
61,10.0
62,10.0
63,43.0
64,26.0
65,216.0
66,31.0
67,9.0
68,5.0
69,5.0
70,30.0
71,65.0
72,1778.0
73,99.0
74,37.0
75,14.0
76,27.0
77,10.0
78,57.0
79,0.0
80,52.0
81,756.0
82,0.0
83,32.0
84,19.0
85,4.0
86,11.0
87,18.0
88,4.0
89,548.0
90,52.0
91,17.0
92,26.0
93,12.0
94,97.0
95,23.0
96,71.0
97,80.0
98,9.0
99,3.0
100,47.0
101,70.0
102,20.0
103,7.0
104,16.0
105,5.0
106,15.0
107,53.0
108,32.0
109,5.0
110,28.0
111,0.0
112,5.0
113,23.0
114,17.0
115,16.0
116,4.0
117,1.0
118,200.0
119,18.0
120,50.0
121,1201.0
122,24.0
123,9.0
124,444.0
125,72.0
126,0.0
127,64.0
128,372.0
129,7.0
130,2.0
131,52.0
132,39.0
133,138.0
134,5.0
135,9.0
136,133.0
137,12.0
138,5.0
139,28.0
140,22.0
141,48.0
142,0.0
143,23.0
144,241.0
145,43.0
146,68.0
147,3.0
148,5.0
149,46.0
150,38.0
151,882.0
152,74.0
153,0.0
154,6.0
155,16.0
156,3.0
157,5.0
158,59.0
159,36.0
160,9.0
161,2.0
162,47.0
163,14.0
164,52.0
165,3.0
166,710.0
167,208.0
168,36.0
169,531.0
170,6.0
171,5.0
172,2.0
173,8.0
174,58.0
175,2.0
176,1.0
177,58.0
178,2.0
179,40.0
180,10.0
181,33.0
182,775.0
183,3.0
184,24.0
185,11.0
186,11.0
187,1.0
188,4.0
189,16.0
190,52.0
191,5.0
192,13.0
193,2.0
194,3.0
195,5.0
196,90.0
197,48.0
198,0.0
199,5.0
200,2.0
201,67.0
202,7.0
203,179.0
204,34.0
205,39.0
206,12.0
207,68.0
208,1.0
209,19.0
210,62.0
211,134.0
212,64.0
213,117.0
214,79.0
215,5.0
216,22.0
217,19.0
218,4.0
219,18.0
220,4.0
221,33.0
222,0.0
223,2.0
224,58.0
225,8.0
226,52.0
227,942.0
228,5.0
229,20.0
230,5.0
231,24.0
232,5.0
233,49.0
234,52.0
235,4.0
236,21.0
237,123.0
238,9.0
239,9.0
240,13.0
241,5.0
242,18.0
243,60.0
244,4.0
245,588.0
246,0.0
247,39.0
248,3.0
249,30.0
250,5.0
251,86.0
252,65.0
253,3.0
254,31.0
255,17.0
256,661.0
257,12.0
258,12.0
259,44.0
260,84.0
261,122.0
262,0.0
263,3.0
264,19.0
265,5.0
266,3.0
267,16.0
268,0.0
269,32.0
270,11.0
271,19.0
272,23.0
273,39.0
274,196.0
275,13.0
276,360.0
277,49.0
278,21.0
279,43.0
280,49.0
281,19.0
282,29.0
283,26.0
284,18.0
285,5.0
286,53.0
287,74.0
288,38.0
289,6.0
290,76.0
291,5.0
292,7.0
293,34.0
294,18.0
295,152.0
296,10.0
297,5.0
298,8.0
299,79.0
300,176.0
301,3.0
302,16.0
303,12.0
304,60.0
305,8.0
306,57.0
307,30.0
308,119.0
309,14.0
310,72.0
311,48.0
312,10.0
313,13.0
314,45.0
315,26.0
316,133.0
317,91.0
318,27.0
319,71.0
320,750.0
321,23.0
322,44.0
323,24.0
324,9.0
325,14.0
326,0.0
327,51.0
328,420.0
329,3.0
330,20.0
331,8.0
332,8.0
333,68.0
334,21.0
335,0.0
336,407.0
337,10.0
338,3.0
339,51.0
340,997.0
341,29.0
342,3.0
343,9.0
344,0.0
345,4.0
346,35.0
347,81.0
348,36.0
349,3.0
350,23.0
351,8.0
352,10.0
353,7.0
354,11.0
355,724.0
356,3.0
357,0.0
358,53.0
359,120.0
360,36.0
361,5.0
362,122.0
363,15.0
364,73.0
365,37.0
366,4.0
367,13.0
368,2.0
369,30.0
370,3.0
371,16.0
372,490.0
373,41.0
374,52.0
375,0.0
376,52.0
377,20.0
378,10.0
379,4.0
380,7.0
381,7.0
382,4.0
383,2.0
384,16.0
385,4.0
386,35.0
387,497.0
388,46.0
389,3.0
390,4.0
391,157.0
392,4.0
393,14.0
394,11.0
395,6.0
396,859.0
397,5.0
398,704.0
399,12.0
400,90.0
401,6.0
402,14.0
403,88.0
404,110.0
405,14.0
406,29.0
407,0.0
408,8.0
409,24.0
410,36.0
411,3.0
412,3.0
413,6.0
414,11.0
415,6.0
416,53.0
417,25.0
418,4.0
419,9.0
420,40.0
421,1.0
422,4.0
423,7.0
424,0.0
425,1117.0
426,12.0
427,3.0
428,5.0
429,35.0
430,44.0
431,17.0
432,11.0
433,5.0
434,2.0
435,31.0
436,12.0
437,4.0
438,15.0
439,363.0
440,9.0
441,0.0
442,380.0
443,11.0
444,7.0
445,0.0
446,5.0
447,45.0
448,26.0
449,2.0
450,2.0
451,1.0
452,7.0
453,17.0
454,66.0
455,553.0
456,0.0
457,53.0
458,4.0
459,1.0
460,27.0
461,24.0
462,58.0
463,34.0
464,13.0
465,48.0
466,954.0
467,8.0
468,12.0
469,1165.0
470,20.0
471,11.0
472,13.0
473,39.0
474,0.0
475,84.0
476,126.0
477,20.0
478,21.0
479,26.0
480,0.0
481,30.0
482,24.0
483,6.0
484,40.0
485,0.0
486,21.0
487,9.0
488,0.0
489,45.0
490,15.0
491,2.0
492,55.0
493,605.0
494,52.0
495,18.0
496,11.0
497,2.0
498,0.0
499,4.0
500,9.0
501,818.0
502,15.0
503,53.0
504,31.0
505,36.0
506,1.0
507,11.0
508,14.0
509,5.0
510,27.0
511,11.0
512,56.0
513,24.0
514,17.0
515,26.0
516,8.0
517,4.0
518,60.0
519,10.0
520,693.0
521,54.0
522,5.0
523,0.0
524,7.0
525,13.0
526,10.0
527,13.0
528,8.0
529,8.0
530,13.0
531,26.0
532,0.0
533,9.0
534,8.0
535,702.0
536,165.0
537,2.0
538,2.0
539,14.0
540,38.0
541,41.0
542,392.0
543,6.0
544,80.0
545,5.0
546,55.0
547,6.0
548,6.0
549,2.0
550,68.0
551,1222.0
552,2.0
553,7.0
554,55.0
555,4.0
556,18.0
557,7.0
558,95.0
559,45.0
560,5.0
561,551.0
562,504.0
563,15.0
564,10.0
565,8.0
566,5.0
567,19.0
568,7.0
569,577.0
570,41.0
571,11.0
572,4.0
573,5.0
574,20.0
575,2.0
576,0.0
577,6.0
578,18.0
579,0.0
580,3.0
581,27.0
582,28.0
583,3.0
584,8.0
585,23.0
586,45.0
587,4.0
588,9.0
589,5.0
590,13.0
591,4.0
592,0.0
593,5.0
594,19.0
595,6.0
596,27.0
597,86.0
598,0.0
599,3.0
600,5.0
601,6.0
602,9.0
603,142.0
604,85.0
605,5.0
606,6.0
607,13.0
608,3.0
609,3.0
610,5.0
611,25.0
612,14.0
613,282.0
614,17.0
615,77.0
616,5.0
617,21.0
618,26.0
619,47.0
620,48.0
621,19.0
622,164.0
623,50.0
624,11.0
625,33.0
626,17.0
627,33.0
628,16.0
629,2.0
630,14.0
631,48.0
632,119.0
633,4.0
634,29.0
635,56.0
636,19.0
637,8.0
638,5.0
639,31.0
640,5.0
641,35.0
642,0.0
643,2.0
644,415.0
645,0.0
646,12.0
647,58.0
648,3.0
649,2.0
650,432.0
651,51.0
